variant,depth,X_dim,train_acc,train_auc,val_acc,val_auc,test_acc,test_auc
base_log,3,5,0.5604625,0.6008060163431282,0.5675,0.6094193353131352,0.567,0.6030774638783075
ll_log,3,14,0.56175,0.6007362160493511,0.5689,0.6091252890911172,0.5673,0.6023987021406775
base_sig,3,14,0.57055,0.5964290047576439,0.5737,0.6037385751082492,0.571,0.5963028065351847
ll_sig,3,39,0.5690125,0.5963386600389631,0.5737,0.603661493477202,0.5687,0.5954868844464243
