Date,anomaly_score,anomaly_score_norm
2015-01-12,4.024979537091646,0.019472635512262967
2015-01-19,7.057550121086021,0.038135863932331204
2015-01-27,7.366662007228346,0.04003821890763852
2015-02-03,3.30310325168155,0.015030021026471342
2015-02-10,7.111444394182607,0.03846754331174741
2015-02-18,10.874103440069938,0.0616239260884134
2015-02-25,9.712934153654025,0.054477788174550415
2015-03-04,6.311013148657515,0.033541481162150895
2015-03-12,7.957279793552845,0.04367303443783811
2015-03-19,4.051216964679084,0.01963410746836642
2015-03-26,3.675581477936913,0.017322348946156325
2015-04-06,4.385676802891113,0.021692460336007944
2015-04-13,2.766811238344478,0.011729540438288395
2015-04-21,5.552508444063592,0.028873445854333955
2015-04-28,3.5347598788359726,0.016455696184841734
2015-05-06,4.051049208115554,0.019633075050825784
2015-05-13,3.1947334073335925,0.014363084807546084
2015-05-20,2.554269428656482,0.010421502840101002
2015-05-27,2.377148897390836,0.009331457005606184
2015-06-03,2.6792601058216654,0.011190727988766875
2015-06-10,1.532241176364544,0.004131675053417261
2015-06-17,2.5145987169717987,0.01017735895844971
2015-06-24,1.3317425141410937,0.002897754118239681
2015-07-01,2.0944994701081985,0.007591958887402742
2015-07-08,2.978312799640575,0.013031176077209251
2015-07-15,2.159722337639111,0.007993357384560864
2015-07-22,2.310028635101541,0.008918381447420817
2015-07-29,2.2017435358294675,0.008251966771742414
2015-08-05,0.8608891493945625,0.0
2015-08-12,2.7294416882009673,0.011499558503501935
2015-08-19,3.043485265675191,0.013432264390445177
2015-08-26,6.703458305726328,0.03595669076926829
2015-09-02,6.91766712817125,0.037274987597702744
2015-09-09,6.246155827640886,0.03314233233335342
2015-09-16,6.683460776279256,0.03583362076988309
2015-09-24,4.751145643848452,0.023941650674793168
2015-10-05,5.3448485899145375,0.027595453080771843
2015-10-12,3.8318594670451445,0.018284124353182187
2015-10-19,4.672379164956997,0.02345690126940276
2015-10-27,2.125440497431105,0.007782378020110403
2015-11-03,1.9025553793520587,0.006410685010853529
2015-11-10,3.0309696445254355,0.013355240001443398
2015-11-19,2.507094797739354,0.010131177887044476
2015-11-27,3.878055767088858,0.018568428403491287
2015-12-04,2.492319396101183,0.010040246220943494
2015-12-11,8.0334626424959,0.044141883512289995
2015-12-18,3.927866533622066,0.018874976821026714
2015-12-28,4.999739575635546,0.0254715624127994
2016-01-04,6.094265054977208,0.03220755699783953
2016-01-11,6.304742962452397,0.03350289280480148
2016-01-18,11.197910895232578,0.06361672141911973
2016-01-25,5.058304963079105,0.025831989045286628
2016-02-02,2.187843409064919,0.008166421774951943
2016-02-09,1.9250420759564182,0.0065490739925824085
2016-02-16,7.648254970230605,0.041771215269778506
2016-02-23,2.851034095702018,0.012247869816457127
2016-03-01,2.690656519079171,0.011260864481192442
2016-03-09,6.057285297420097,0.03197997394805011
2016-03-16,1.962251050871354,0.0067780677056320645
2016-03-23,2.8234472258202286,0.012078093041362124
2016-04-01,1.7877211275317761,0.005703965146365935
2016-04-08,1.822864639113071,0.005920247460646352
2016-04-20,3.5735491619149378,0.016694415525514053
2016-04-27,5.109253483026739,0.026145539493367103
2016-05-04,3.2471793223532988,0.014685850614508113
2016-05-11,4.908327894261028,0.024908991141166202
2016-05-18,3.2670645206473763,0.014808229298750275
2016-05-25,3.8307921543049126,0.018277555832874125
2016-06-01,4.432611951073099,0.02198131145000127
2016-06-08,4.905196123022517,0.024889717406107167
2016-06-15,6.054252662486139,0.03196131032360363
2016-06-22,5.686307437040208,0.0296968796703438
2016-06-29,7.132759058161856,0.03859871929974957
2016-07-07,8.841651609624176,0.049115688699118254
2016-07-14,10.022431101906303,0.05638251292227191
2016-07-21,6.998030727019083,0.0377695660948602
2016-07-28,14.983873017880551,0.08691651739341075
2016-08-04,8.436001339887333,0.04661921139279646
2016-08-11,12.798340821238027,0.07346618360047814
2016-08-19,17.140705485137737,0.100190225584308
2016-08-26,14.984748436024526,0.08692190494444428
2016-09-02,9.590414040302777,0.053723767518412825
2016-09-12,2.355128824023044,0.009195939744686093
2016-09-20,3.784094118952213,0.017990163972926746
2016-09-27,4.016099717134726,0.019417986789802968
2016-10-04,7.5550924845436995,0.04119786909286417
2016-10-13,2.9932927551762285,0.01312336662121833
2016-10-20,4.211629709742492,0.02062132923936481
2016-10-27,3.3999884436846664,0.015626277706668593
2016-11-04,1.5437639091825368,0.004202588949285221
2016-11-11,2.8536012399410944,0.012263668690051039
2016-11-21,4.2270126647113955,0.02071599994674275
