Date,score_raw,bubble_prob,bubble_prob_smooth
2019-01-08,0.6228169411845863,1.0,1.0
2019-01-22,0.6718028872298308,1.0,1.0
2019-02-05,0.997522859711772,1.0,1.0
2019-02-20,1.0229991354060828,1.0,1.0
2019-03-07,1.0273424103836077,1.0,1.0
2019-03-22,0.9878367645659268,1.0,1.0
2019-04-08,0.8549312738619923,1.0,1.0
2019-04-24,0.6456652498086494,1.0,1.0
2019-05-10,2.56618664763661,1.0,1.0
2019-05-24,3.482564773519961,1.0,1.0
2019-06-10,3.4909054024850104,1.0,1.0
2019-06-24,7.412876935446695,1.0,1.0
2019-07-08,13.375745470305686,1.0,1.0
2019-07-22,19.61596221386778,1.0,1.0
2019-08-05,28.09426815843881,1.0,1.0
2019-08-21,43.22677058172887,1.0,1.0
2019-09-05,49.36987557076658,1.0,1.0
2019-09-20,46.589476387670615,1.0,1.0
2019-10-07,29.39328670645444,1.0,1.0
2019-10-23,23.066496230864995,1.0,1.0
2019-11-06,9.267712296538054,1.0,1.0
2019-11-21,12.595829001477346,1.0,1.0
2019-12-05,10.803463135513907,1.0,1.0
2019-12-19,11.832732033183465,1.0,1.0
2020-01-03,17.622037833282373,1.0,1.0
2020-01-17,28.51200206832814,1.0,1.0
2020-01-31,31.049587996232034,1.0,1.0
2020-02-14,27.591818478657558,1.0,1.0
2020-03-02,57.03555541496843,1.0,1.0
2020-03-17,25.12517939518181,1.0,1.0
2020-03-31,124.27245639759813,1.0,1.0
2020-04-20,95.14872187080528,1.0,1.0
2020-05-05,90.09663287088924,1.0,1.0
2020-05-19,51.7904606284158,1.0,1.0
2020-06-03,34.48778839226311,1.0,1.0
2020-06-17,36.971831714576844,1.0,1.0
2020-07-01,22.72645727789406,1.0,1.0
2020-07-15,23.83963421168853,1.0,1.0
2020-07-29,61.680436657570475,1.0,1.0
2020-08-12,39.47414305042816,1.0,1.0
2020-08-26,30.80071090252819,1.0,1.0
2020-09-09,23.91798138902905,1.0,1.0
2020-09-23,20.970589133625705,1.0,1.0
2020-10-08,11.028283292179818,1.0,1.0
2020-10-22,20.773303646620203,1.0,1.0
2020-11-05,42.53435940701774,1.0,1.0
2020-11-19,30.902732739309254,1.0,1.0
2020-12-04,24.230883669964303,1.0,1.0
2020-12-18,7.4939967239555925,1.0,1.0
