Date,score_raw,bubble_prob,bubble_prob_smooth
2015-01-12,0.7273090445383444,1.0,1.0
2015-01-19,1.1553146793671367,1.0,1.0
2015-01-27,1.626239164889799,1.0,1.0
2015-02-03,0.9581614345187675,1.0,1.0
2015-02-10,1.6674706789715774,1.0,1.0
2015-02-18,1.9426356551819954,1.0,1.0
2015-02-25,1.8823561573462402,1.0,1.0
2015-03-04,2.1712916439157715,1.0,1.0
2015-03-12,1.9676510072557178,1.0,1.0
2015-03-19,1.4543824002688672,1.0,1.0
2015-03-26,1.0497460068299795,1.0,1.0
2015-04-06,1.2026904626236248,1.0,1.0
2015-04-13,0.6419904109408169,1.0,1.0
2015-04-21,0.4561536182371559,1.0,1.0
2015-04-28,0.5075869095355808,1.0,1.0
2015-05-06,0.4399244976958806,1.0,1.0
2015-05-13,0.3356891589975864,1.0,1.0
2015-05-20,0.5102796320035873,1.0,1.0
2015-05-27,0.3162365815046535,1.0,1.0
2015-06-03,0.14812875054354033,1.0,1.0
2015-06-10,0.10296086597797637,1.0,1.0
2015-06-17,0.09414367329243677,1.0,1.0
2015-06-24,0.13382496016573822,1.0,1.0
2015-07-01,0.223450331822432,1.0,1.0
2015-07-08,0.1681743713900159,1.0,1.0
2015-07-15,0.24263704307258507,1.0,1.0
2015-07-22,0.1581977443277121,1.0,1.0
2015-07-29,0.26911576982576735,1.0,1.0
2015-08-05,0.1623346204810453,1.0,1.0
2015-08-12,0.19680529280934392,1.0,1.0
2015-08-19,0.27142048045176126,1.0,1.0
2015-08-26,0.2694311408840496,1.0,1.0
2015-09-02,0.2909143226437843,1.0,1.0
2015-09-09,0.11316520086256827,1.0,1.0
2015-09-16,0.08874217258581797,1.0,1.0
2015-09-24,0.1669906640144444,1.0,1.0
2015-10-05,0.1373597689821526,1.0,1.0
2015-10-12,0.27544432673659575,1.0,1.0
2015-10-19,0.17321418460345028,1.0,1.0
2015-10-27,0.13229228921956374,1.0,1.0
2015-11-03,0.08675443465464588,1.0,1.0
2015-11-10,0.15216246292577354,1.0,1.0
2015-11-19,0.04492379399726092,1.0,1.0
2015-11-27,0.14508441905717756,1.0,1.0
2015-12-04,0.05388415051564605,1.0,1.0
2015-12-11,0.05640192841622847,1.0,1.0
2015-12-18,0.08746289339500765,1.0,1.0
2015-12-28,0.08728458554448912,1.0,1.0
2016-01-04,0.050403718710847444,1.0,1.0
2016-01-11,0.032626749596911885,1.0,1.0
2016-01-18,0.06607841549488783,1.0,1.0
2016-01-25,0.045579057744900925,1.0,1.0
2016-02-02,0.04259286748600548,1.0,1.0
2016-02-09,0.07031540037524832,1.0,1.0
2016-02-16,0.039567696696548804,1.0,1.0
2016-02-23,0.025247940683436394,1.0,1.0
2016-03-01,0.03365861300557603,1.0,1.0
2016-03-09,0.05781873440197993,1.0,1.0
2016-03-16,0.0482127850004629,1.0,1.0
2016-03-23,0.0670144821529362,1.0,1.0
