Date,score_raw,bubble_prob,bubble_prob_smooth
2015-01-12,,,
2015-01-19,,,
2015-01-27,,,
2015-02-03,,,
2015-02-10,,,
2015-02-18,,,
2015-02-25,,,
2015-03-04,,,
2015-03-12,,,
2015-03-19,,,
2015-03-26,,,
2015-04-06,,,
2015-04-13,,,
2015-04-21,,,
2015-04-28,,,
2015-05-06,,,
2015-05-13,,,
2015-05-20,,,
2015-05-27,,,
2015-06-03,,,
2015-06-10,,,
2015-06-17,,,
2015-06-24,,,
2015-07-01,,,
2015-07-08,,,
2015-07-15,,,
2015-07-22,,,
2015-07-29,,,
2015-08-05,,,
2015-08-12,,,
2015-08-19,0.780162293604522,,
2015-08-26,2.602576374432857,,
2015-09-02,0.8310220655128909,,
2015-09-09,0.8866405086433752,,
2015-09-16,0.5815665353394802,,
2015-09-24,0.6022058264584313,,
2015-10-05,0.3763775934451515,,
2015-10-12,0.6541898483905587,,
2015-10-19,0.3934195374222609,,
2015-10-27,0.4910763745469155,,
2015-11-03,0.5436255212975255,,
2015-11-10,0.6611590165245632,,
2015-11-19,0.5255272657932252,,
2015-11-27,0.2607607012235095,,
2015-12-04,0.24705577435143528,,
2015-12-11,1.39321964452978,,
2015-12-18,0.17516245191533694,,
2015-12-28,0.2577854925558965,,
2016-01-04,0.3012981611125518,,
2016-01-11,0.46527810047478185,,
2016-01-18,0.2755138272413702,0.0,0.0
2016-01-25,0.20432759342028975,0.0,0.0
2016-02-02,1.5217706673595062,0.5454545454545457,0.1818181818181819
2016-02-09,0.3145832165984062,0.0,0.13636363636363644
2016-02-16,0.2375700375738936,0.0,0.10909090909090915
2016-02-23,0.16652793498638296,0.0,0.10909090909090915
2016-03-01,0.18494351362883796,0.0,0.10909090909090915
2016-03-09,0.31286157159423617,0.0,0.0
2016-03-16,0.3371314672526998,0.0,0.0
2016-03-23,0.3032382847784659,0.0,0.0
2016-04-01,0.2380835173955656,0.0,0.0
2016-04-08,0.13814914048351076,0.0,0.0
2016-04-20,0.12164252482855033,0.0,0.0
2016-04-27,0.15324737780716832,0.0,0.0
2016-05-04,0.1582250994602374,0.0,0.0
2016-05-11,0.24466630876095763,0.0,0.0
2016-05-18,0.16561550767284497,0.0,0.0
2016-05-25,0.12159098312285453,0.0,0.0
2016-06-01,0.23028429625540972,0.0,0.0
2016-06-08,0.21084070161010487,0.0,0.0
2016-06-15,0.181396890549587,0.0,0.0
2016-06-22,0.07919222181574355,0.0,0.0
2016-06-29,0.24267960244888037,0.0,0.0
2016-07-07,0.2219983001657279,0.0,0.0
2016-07-14,0.3537494576960724,0.0,0.0
2016-07-21,0.2134579242924028,0.0,0.0
2016-07-28,0.25414987086152446,0.0,0.0
2016-08-04,0.12449627444349498,0.0,0.0
2016-08-11,0.2604719852366845,0.0,0.0
2016-08-19,0.30182141668053986,0.0,0.0
2016-08-26,0.2560003606213511,0.0,0.0
2016-09-02,0.44307672355712086,0.0,0.0
2016-09-12,0.2781806162404993,0.0,0.0
2016-09-20,0.2128287712534311,0.0,0.0
2016-09-27,0.26352453183045565,0.0,0.0
2016-10-04,0.2031394695633776,0.0,0.0
2016-10-13,0.12448883773012456,0.0,0.0
2016-10-20,0.23186558492460202,0.0,0.0
2016-10-27,0.25366764374324735,0.0,0.0
2016-11-04,0.20701007781645783,0.0,0.0
2016-11-11,0.40846737372137576,0.0,0.0
2016-11-21,0.341855561509025,0.0,0.0
2016-11-28,0.4199601486242395,0.0,0.0
2016-12-05,0.20563165657591334,0.0,0.0
2016-12-12,0.17536134375865753,0.0,0.0
2016-12-19,0.2939324996173333,0.0,0.0
2016-12-26,0.2907383430001417,0.0,0.0
2017-01-02,0.21547062282087617,0.0,0.0
2017-01-09,0.19595625140225403,0.0,0.0
2017-01-16,0.15700679320040722,0.0,0.0
2017-01-23,0.13591094192203398,0.0,0.0
2017-01-31,0.12739196084019203,0.0,0.0
2017-02-07,0.1825733372384484,0.0,0.0
2017-02-14,0.23411059662279943,0.0,0.0
2017-02-21,0.18349839027111053,0.0,0.0
2017-03-01,0.3415241302239288,0.0,0.0
