Date,bubble_prob
2014-12-31,0.02889982179406346
2015-01-08,0.030409565778402578
2015-01-15,0.057282023055533135
2015-01-23,0.05493392863473871
2015-01-30,0.059754529323302656
2015-02-06,0.05744039510640353
2015-02-13,0.07635821381454105
2015-02-23,0.0972893496140424
2015-03-02,0.1500483838423062
2015-03-09,0.13768041356383318
2015-03-16,0.12790801401726773
2015-03-23,0.1063516458270795
2015-03-30,0.09775080475340998
2015-04-07,0.08876902146260104
2015-04-14,0.07469240876023078
2015-04-21,0.09811669099385974
2015-04-28,0.0734250817695849
2015-05-05,0.07228202762207456
2015-05-12,0.049245383792262114
2015-05-19,0.052490741868677956
2015-05-27,0.06687155349157732
2015-06-03,0.058979112872864295
2015-06-10,0.05829179318480501
2015-06-17,0.07932116407128235
2015-06-24,0.08946358776734001
2015-07-01,0.07805595111355686
2015-07-09,0.06995623549669625
2015-07-16,0.062064735392491216
2015-07-23,0.07047958586753941
2015-07-30,0.07017622342337576
2015-08-06,0.11608123783129287
2015-08-13,0.13071130652605042
2015-08-20,0.12122690402246315
2015-08-27,0.13863709005876929
2015-09-03,0.16079008807261816
2015-09-11,0.16225296619350238
2015-09-18,0.12443523273412288
2015-09-25,0.1059067889505722
2015-10-02,0.12213334433482985
2015-10-09,0.10843225637728371
2015-10-16,0.09298704533136863
2015-10-23,0.11355196852820701
2015-10-30,0.12360846002846546
2015-11-06,0.11077054526788457
2015-11-13,0.15277372879401147
2015-11-20,0.12195063231927544
2015-11-30,0.10139360775055337
2015-12-07,0.07873216732350788
2015-12-14,0.07267188386626965
2015-12-21,0.0876605354179225
2015-12-29,0.08486144067876425
2016-01-06,0.0800929014020642
2016-01-13,0.07034934110609403
2016-01-21,0.07997837115006468
2016-01-28,0.09115038279188582
2016-02-04,0.12513033172728824
2016-02-11,0.13622821697611784
2016-02-19,0.13788217928038757
2016-02-26,0.098602289245374
2016-03-04,0.07960962186535865
2016-03-11,0.06947616781282957
2016-03-18,0.06715867729183224
2016-03-28,0.05423863494401044
2016-04-04,0.06594074493565731
2016-04-11,0.07210304693604778
2016-04-18,0.06463248200064403
2016-04-25,0.09723822216317152
2016-05-02,0.09925087568603222
2016-05-09,0.13112402832107042
2016-05-16,0.14565135864842796
2016-05-23,0.13936972175266224
2016-05-31,0.13677234106728375
2016-06-07,0.14524944219677657
2016-06-14,0.1500661272568565
2016-06-21,0.1723724960818527
2016-06-28,0.18875158932666478
2016-07-06,0.15865212021191002
2016-07-13,0.16910866517268433
2016-07-20,0.175039426341219
2016-07-27,0.16773034740258874
2016-08-03,0.18054739145778576
2016-08-10,0.12400100498823334
2016-08-17,0.1530638083715583
2016-08-24,0.10390493581375203
2016-08-31,0.14417428661812948
2016-09-08,0.15543939032620285
2016-09-15,0.1776235381590211
2016-09-22,0.17694243311469077
2016-09-29,0.1406066413994804
2016-10-06,0.1206273733767217
2016-10-13,0.11297878578923844
2016-10-20,0.10015460089688152
2016-10-27,0.09682633151524435
2016-11-03,0.1363537910505465
2016-11-10,0.11044366639550277
2016-11-17,0.12153371487507271
2016-11-25,0.13206307156375288
2016-12-02,0.14116851043857317
2016-12-09,0.11415339733798888
2016-12-16,0.1290214626395229
2016-12-23,0.1212077453862688
2017-01-03,0.1105022707723078
2017-01-10,0.08497063400381417
2017-01-18,0.06671365206946388
2017-01-25,0.0494847568068368
2017-02-01,0.03681270452326095
2017-02-08,0.015541169650313555
2017-02-15,0.024315520015202163
2017-02-23,0.04389445446072458
2017-03-02,0.05243293777330972
2017-03-09,0.0630719145362574
2017-03-16,0.08249855949092723
2017-03-23,0.08605545534836129
2017-03-30,0.0921618175381922
2017-04-06,0.10608319753896911
2017-04-13,0.11153615395676832
2017-04-21,0.10855133336005465
2017-04-28,0.08567112801496128
2017-05-05,0.05462180097319575
2017-05-12,0.043654862691827584
2017-05-19,0.05762253036094204
2017-05-26,0.05681265355767694
2017-06-05,0.04958296949723349
2017-06-12,0.04423561010168929
2017-06-19,0.0433418693804838
2017-06-26,0.025596375564858765
2017-07-03,0.0384019558326865
2017-07-11,0.05173679770921991
2017-07-18,0.051176405709411836
2017-07-25,0.05198157498766343
2017-08-01,0.05298911233388015
2017-08-08,0.045878494066454716
2017-08-15,0.040757857430785215
2017-08-22,0.04425442447911114
2017-08-29,0.03269587351825323
2017-09-06,0.02654125912610584
2017-09-13,0.020744425085759886
2017-09-20,0.023426591275127886
2017-09-27,0.027572553113879104
2017-10-04,0.025993485266502137
2017-10-11,0.022106314403455597
2017-10-18,0.021699739324375297
2017-10-25,0.02522417269432347
2017-11-01,0.019410050470308613
2017-11-08,0.02259851735587444
2017-11-15,0.0186010157341327
2017-11-22,0.021403439051257786
2017-11-30,0.017405920283667293
2017-12-07,0.020248580098042018
2017-12-14,0.017946624362318402
2017-12-21,0.02224996237097762
2017-12-29,0.02749033169371115
2018-01-08,0.03041938520963642
2018-01-16,0.031148341309725595
2018-01-23,0.03775552059904493
2018-01-30,0.03711565200595546
2018-02-06,0.04205070316050837
2018-02-13,0.05985584648403099
2018-02-21,0.05176735101545123
2018-02-28,0.035705738471175634
2018-03-07,0.035903997856359095
2018-03-14,0.041509813603689626
2018-03-21,0.04319124285607382
2018-03-28,0.08231707279433759
2018-04-05,0.0760234557402907
2018-04-12,0.08247688744679858
2018-04-19,0.08462874925564962
2018-04-26,0.09629409626628993
2018-05-03,0.08637218249077956
2018-05-10,0.10097341743811263
2018-05-17,0.10120012581615823
2018-05-24,0.10836810513448605
2018-06-01,0.12387318858944579
2018-06-08,0.13368475839180424
2018-06-15,0.13743935709177976
2018-06-22,0.16052151877972395
2018-06-29,0.13176943712488984
2018-07-09,0.09436494333537136
2018-07-16,0.10037756186814759
2018-07-23,0.12583690183308674
2018-07-30,0.11304291982898113
2018-08-06,0.13185490462402533
2018-08-13,0.1405726708887953
2018-08-20,0.12940685316905146
2018-08-27,0.13363911527271927
2018-09-04,0.1516337504219364
2018-09-11,0.17574765815864743
2018-09-18,0.18937404478707318
2018-09-25,0.14613262575133334
2018-10-02,0.16477979211745652
2018-10-09,0.19904230963648872
2018-10-16,0.19376172115723705
2018-10-23,0.16558792879616463
2018-10-30,0.14412834482226536
2018-11-06,0.10663591380080364
2018-11-13,0.10970641315813141
2018-11-20,0.11586909126846813
2018-11-28,0.10360054559167065
2018-12-06,0.10391169514020292
2018-12-13,0.12974253191134485
2018-12-20,0.13834169948148015
2018-12-28,0.1184114501486884
2019-01-07,0.12098197923909426
2019-01-14,0.14460679007564803
2019-01-22,0.18573603619734502
2019-01-29,0.18318536464815488
2019-02-05,0.14933255857746916
2019-02-12,0.12983207743620026
2019-02-20,0.156893531488323
2019-02-27,0.1739340941785639
2019-03-06,0.16405515448863134
2019-03-13,0.17466534993503127
2019-03-20,0.1431354496497888
2019-03-27,0.10628458948013968
2019-04-03,0.1039669342883782
2019-04-10,0.12844232724995533
2019-04-17,0.1219380632842533
2019-04-25,0.12326659554418935
2019-05-02,0.15016921395646274
2019-05-09,0.15861139060535873
2019-05-16,0.14679874524647255
2019-05-23,0.17751611367256853
2019-05-31,0.19956646430256544
2019-06-07,0.21658961111392813
2019-06-14,0.2632485000423303
2019-06-21,0.2454555720642295
2019-06-28,0.24863230216513404
2019-07-08,0.18665388453480733
2019-07-15,0.18578146459383996
2019-07-22,0.17624500231940995
2019-07-29,0.17334392591372697
2019-08-05,0.2523443487472231
2019-08-12,0.26319909543645903
2019-08-19,0.19247217143282425
2019-08-26,0.22846471596131843
2019-09-03,0.19040329528423236
2019-09-10,0.1593706214290835
2019-09-17,0.16686959811295915
2019-09-24,0.1900162857996896
2019-10-01,0.1909096320569554
2019-10-08,0.10951601800842403
2019-10-15,0.11017033883608142
2019-10-22,0.11217826809099284
2019-10-29,0.21397577099752527
2019-11-05,0.22501817812592592
2019-11-12,0.19688496713472703
2019-11-19,0.23984988326499967
2019-11-26,0.2237704212299719
2019-12-04,0.2538650430520383
2019-12-11,0.26562806645500786
2019-12-18,0.18810864138257513
2019-12-26,0.14609293824925174
2020-01-03,0.14461507274993168
2020-01-10,0.20132054303232602
2020-01-17,0.10698972071453387
2020-01-27,0.09107311300488552
2020-02-03,0.1132966331623294
2020-02-10,0.12002715650778902
2020-02-18,0.09737893553626778
2020-02-25,0.08303077549242789
2020-03-03,0.05718677679303925
2020-03-10,0.07391152442081014
2020-03-17,0.09722630813086543
2020-03-24,0.09113455008711444
2020-03-31,0.11249630451927953
2020-04-07,0.0862385893507422
2020-04-15,0.061884630867727226
2020-04-22,0.04355739237314585
2020-04-29,0.02043535663908045
2020-05-06,0.0264329689361824
2020-05-13,0.01758208998530224
2020-05-20,0.005139719219651982
2020-05-28,0.004182310384695956
2020-06-04,0.005303561234971496
2020-06-11,0.004615094460026692
2020-06-18,0.004551032917837731
2020-06-25,0.004684718815387838
2020-07-02,0.0034580689081138236
2020-07-10,0.002583391378183585
2020-07-17,0.00347689423732496
2020-07-24,0.0015880660360299795
2020-07-31,0.0016679867908731521
2020-08-07,0.0014306778840932522
2020-08-14,0.000567064764259666
2020-08-21,0.00019145233489814215
2020-08-28,0.00020536729545453635
2020-09-04,0.00027260933831154473
2020-09-14,0.0003836319926385483
2020-09-21,0.0002514567022985168
2020-09-28,0.00027361131313701224
2020-10-05,0.00020801408018176402
2020-10-12,0.0002562741390022327
2020-10-19,0.0002225117316478447
2020-10-26,0.0010477206152291632
2020-11-02,0.0008984665448839628
2020-11-09,0.0010946972035231744
2020-11-16,0.001166578322115331
2020-11-23,0.0003425970865690221
2020-12-01,0.00019403463954986995
2020-12-08,0.00014360417832602027
2020-12-15,0.0002384577999529002
2020-12-22,0.00042936051569619456
2020-12-30,0.0002989216322046186
2021-01-07,0.0003231335738561408
2021-01-14,0.00039955680247757616
2021-01-22,0.000655184367156335
2021-01-29,0.0017664238506982322
2021-02-05,0.003169122158039643
2021-02-12,0.004822936013343146
2021-02-22,0.00785087177167745
2021-03-01,0.0035820188555683733
2021-03-08,0.002482766435917599
2021-03-15,0.0001650055096255846
2021-03-22,0.00015940234456814377
2021-03-29,0.0004716275642358675
2021-04-06,0.00026834660651696055
2021-04-13,0.0008733497602456215
2021-04-20,0.0008292916704136646
2021-04-27,0.001445785939624142
2021-05-04,0.0015501206160357995
2021-05-11,0.002577290416259516
2021-05-18,0.003085978124201074
2021-05-25,0.002524443139607903
2021-06-02,0.003161695295457781
2021-06-09,0.0056394064539238625
2021-06-16,0.004396825950583602
2021-06-23,0.002610039844722966
2021-06-30,0.004026667831215343
2021-07-08,0.010584305169067625
2021-07-15,0.013581573639406425
2021-07-22,0.013356997718564145
2021-07-29,0.010453756798994811
2021-08-05,0.008456803835642198
2021-08-12,0.010794633324824362
2021-08-19,0.02796491222204509
2021-08-26,0.0374895595806477
2021-09-02,0.02275418852005099
2021-09-10,0.014829701883851213
2021-09-17,0.025800987267694826
2021-09-24,0.017148350458577447
2021-10-01,0.017717434295161445
2021-10-08,0.019708017445603083
2021-10-15,0.017137710860538613
2021-10-22,0.011492553245389307
2021-10-29,0.004770227980923728
2021-11-05,0.006118119441553816
2021-11-12,0.007039100439575077
2021-11-19,0.01247390102853474
2021-11-29,0.02399222942747397
2021-12-06,0.047660799338996335
2021-12-13,0.049155663782938924
2021-12-20,0.05659635793836383
2021-12-28,0.0477210447033325
2022-01-04,0.0775485717539409
2022-01-11,0.1318298648942486
2022-01-19,0.13183313985576978
2022-01-26,0.13131095728922282
2022-02-02,0.14836471138960763
2022-02-09,0.12269340939036832
2022-02-16,0.10807977495706762
2022-02-24,0.07931431428083681
2022-03-03,0.048257511619220324
2022-03-10,0.07814354846584211
2022-03-17,0.060512555621281765
2022-03-24,0.03754796944968215
2022-03-31,0.05209565794724898
2022-04-07,0.056048936616662215
2022-04-14,0.06534313615322526
2022-04-22,0.07062890988422629
2022-04-29,0.06783172755513543
2022-05-06,0.05149761913427551
2022-05-13,0.05078815597802943
2022-05-20,0.08210058118014496
2022-05-27,0.06870596305762941
2022-06-06,0.07134370351560552
2022-06-13,0.08688337917815539
2022-06-21,0.08099221221894498
2022-06-28,0.10522358737803063
2022-07-06,0.09113434165254138
2022-07-13,0.09052714878492435
2022-07-20,0.08266689026526121
2022-07-27,0.06557056726840445
2022-08-03,0.07183941949330115
2022-08-10,0.07541217455395915
2022-08-17,0.06412713629125003
2022-08-24,0.07245010831202536
2022-08-31,0.08900358776601558
2022-09-08,0.0885316774189254
2022-09-15,0.08187247382957197
2022-09-22,0.08595944721510697
2022-09-29,0.1047873401180214
2022-10-06,0.13453514646348005
2022-10-13,0.1609445863713019
2022-10-20,0.2154926241236498
2022-10-27,0.2871078770629662
2022-11-03,0.37086872917048763
2022-11-10,0.3193177939686161
2022-11-17,0.3450750898335944
2022-11-25,0.34727072761970645
2022-12-02,0.30696114692189
2022-12-09,0.32908160083749627
2022-12-16,0.3379730269308932
2022-12-23,0.45526081183692957
2023-01-03,0.5309336972606943
2023-01-10,0.4900525652413547
2023-01-18,0.47351512470976265
2023-01-25,0.4087283217602173
